label,precision,recall,f1-score,support,model,split_seed
Affiliate License-Licensee,0.3333333333333333,0.26666666666666666,0.2962962962962963,30.0,TFIDF_LogisticRegression,42
Affiliate License-Licensor,0.20833333333333334,0.23809523809523808,0.2222222222222222,21.0,TFIDF_LogisticRegression,42
Agreement Date,0.6538461538461539,0.918918918918919,0.7640449438202247,37.0,TFIDF_LogisticRegression,42
Anti-Assignment,0.8849557522123894,0.819672131147541,0.851063829787234,122.0,TFIDF_LogisticRegression,42
Audit Rights,0.896551724137931,0.8863636363636364,0.8914285714285715,88.0,TFIDF_LogisticRegression,42
Cap On Liability,0.8378378378378378,0.7153846153846154,0.7717842323651453,130.0,TFIDF_LogisticRegression,42
Change Of Control,0.66,0.6875,0.673469387755102,48.0,TFIDF_LogisticRegression,42
Competitive Restriction Exception,0.19047619047619047,0.18181818181818182,0.18604651162790697,22.0,TFIDF_LogisticRegression,42
Covenant Not To Sue,0.88,0.7333333333333333,0.8,30.0,TFIDF_LogisticRegression,42
Document Name,0.9333333333333333,0.9767441860465116,0.9545454545454546,86.0,TFIDF_LogisticRegression,42
Effective Date,0.41025641025641024,0.35555555555555557,0.38095238095238093,45.0,TFIDF_LogisticRegression,42
Exclusivity,0.6190476190476191,0.40625,0.49056603773584906,96.0,TFIDF_LogisticRegression,42
Expiration Date,0.8481012658227848,0.7444444444444445,0.7928994082840237,90.0,TFIDF_LogisticRegression,42
Governing Law,0.9883720930232558,0.9659090909090909,0.9770114942528736,88.0,TFIDF_LogisticRegression,42
Insurance,0.968,0.9453125,0.9565217391304348,128.0,TFIDF_LogisticRegression,42
Ip Ownership Assignment,0.7560975609756098,0.8378378378378378,0.7948717948717948,74.0,TFIDF_LogisticRegression,42
Irrevocable Or Perpetual License,0.3482142857142857,0.6610169491525424,0.45614035087719296,59.0,TFIDF_LogisticRegression,42
Joint Ip Ownership,0.375,1.0,0.5454545454545454,6.0,TFIDF_LogisticRegression,42
License Grant,0.6016949152542372,0.4251497005988024,0.4982456140350877,167.0,TFIDF_LogisticRegression,42
Liquidated Damages,0.7333333333333333,0.5238095238095238,0.6111111111111112,21.0,TFIDF_LogisticRegression,42
Minimum Commitment,0.7647058823529411,0.6933333333333334,0.7272727272727273,75.0,TFIDF_LogisticRegression,42
Most Favored Nation,0.8333333333333334,0.5,0.625,10.0,TFIDF_LogisticRegression,42
No-Solicit Of Customers,0.6153846153846154,0.7272727272727273,0.6666666666666666,11.0,TFIDF_LogisticRegression,42
No-Solicit Of Employees,0.8064516129032258,0.8620689655172413,0.8333333333333334,29.0,TFIDF_LogisticRegression,42
Non-Compete,0.5636363636363636,0.6078431372549019,0.5849056603773585,51.0,TFIDF_LogisticRegression,42
Non-Disparagement,0.42105263157894735,0.6666666666666666,0.5161290322580645,12.0,TFIDF_LogisticRegression,42
Non-Transferable License,0.35384615384615387,0.35384615384615387,0.35384615384615387,65.0,TFIDF_LogisticRegression,42
Notice Period To Terminate Renewal,0.42857142857142855,0.625,0.5084745762711864,24.0,TFIDF_LogisticRegression,42
Parties,0.8493723849372385,0.9311926605504587,0.888402625820569,218.0,TFIDF_LogisticRegression,42
Post-Termination Services,0.7111111111111111,0.7032967032967034,0.7071823204419889,91.0,TFIDF_LogisticRegression,42
Price Restrictions,0.75,1.0,0.8571428571428571,3.0,TFIDF_LogisticRegression,42
Renewal Term,0.6333333333333333,0.4222222222222222,0.5066666666666667,45.0,TFIDF_LogisticRegression,42
Revenue/Profit Sharing,0.8020833333333334,0.9166666666666666,0.8555555555555555,84.0,TFIDF_LogisticRegression,42
Rofr/Rofo/Rofn,0.8026315789473685,0.7625,0.782051282051282,80.0,TFIDF_LogisticRegression,42
Source Code Escrow,0.7407407407407407,0.8695652173913043,0.8,23.0,TFIDF_LogisticRegression,42
Termination For Convenience,0.6666666666666666,0.8,0.7272727272727273,40.0,TFIDF_LogisticRegression,42
Third Party Beneficiary,1.0,0.9166666666666666,0.9565217391304348,12.0,TFIDF_LogisticRegression,42
Uncapped Liability,0.4594594594594595,0.4857142857142857,0.4722222222222222,35.0,TFIDF_LogisticRegression,42
Unlimited/All-You-Can-Eat-License,0.375,0.3333333333333333,0.35294117647058826,9.0,TFIDF_LogisticRegression,42
Volume Restriction,0.6756756756756757,0.6578947368421053,0.6666666666666666,38.0,TFIDF_LogisticRegression,42
Warranty Duration,0.671875,0.8958333333333334,0.7678571428571429,48.0,TFIDF_LogisticRegression,42
accuracy,0.7206189878711836,0.7206189878711836,0.7206189878711836,0.7206189878711836,TFIDF_LogisticRegression,42
macro avg,0.6597979621402433,0.6834316907314767,0.6602630989970156,2391.0,TFIDF_LogisticRegression,42
weighted avg,0.7297511854648452,0.7206189878711836,0.718616888247539,2391.0,TFIDF_LogisticRegression,42
Affiliate License-Licensee,0.3333333333333333,0.16666666666666666,0.2222222222222222,30.0,TFIDF_LinearSVM,42
Affiliate License-Licensor,0.29411764705882354,0.23809523809523808,0.2631578947368421,21.0,TFIDF_LinearSVM,42
Agreement Date,0.6470588235294118,0.8918918918918919,0.75,37.0,TFIDF_LinearSVM,42
Anti-Assignment,0.84375,0.8852459016393442,0.864,122.0,TFIDF_LinearSVM,42
Audit Rights,0.8494623655913979,0.8977272727272727,0.8729281767955801,88.0,TFIDF_LinearSVM,42
Cap On Liability,0.8014705882352942,0.8384615384615385,0.8195488721804511,130.0,TFIDF_LinearSVM,42
Change Of Control,0.6875,0.6875,0.6875,48.0,TFIDF_LinearSVM,42
Competitive Restriction Exception,0.18181818181818182,0.09090909090909091,0.12121212121212122,22.0,TFIDF_LinearSVM,42
Covenant Not To Sue,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0,TFIDF_LinearSVM,42
Document Name,0.9444444444444444,0.9883720930232558,0.9659090909090909,86.0,TFIDF_LinearSVM,42
Effective Date,0.4146341463414634,0.37777777777777777,0.3953488372093023,45.0,TFIDF_LinearSVM,42
Exclusivity,0.7413793103448276,0.4479166666666667,0.5584415584415584,96.0,TFIDF_LinearSVM,42
Expiration Date,0.8160919540229885,0.7888888888888889,0.8022598870056498,90.0,TFIDF_LinearSVM,42
Governing Law,0.9666666666666667,0.9886363636363636,0.9775280898876404,88.0,TFIDF_LinearSVM,42
Insurance,0.9754098360655737,0.9296875,0.952,128.0,TFIDF_LinearSVM,42
Ip Ownership Assignment,0.810126582278481,0.8648648648648649,0.8366013071895425,74.0,TFIDF_LinearSVM,42
Irrevocable Or Perpetual License,0.3448275862068966,0.5084745762711864,0.410958904109589,59.0,TFIDF_LinearSVM,42
Joint Ip Ownership,0.46153846153846156,1.0,0.631578947368421,6.0,TFIDF_LinearSVM,42
License Grant,0.5344827586206896,0.5568862275449101,0.5454545454545454,167.0,TFIDF_LinearSVM,42
Liquidated Damages,0.5882352941176471,0.47619047619047616,0.5263157894736842,21.0,TFIDF_LinearSVM,42
Minimum Commitment,0.7702702702702703,0.76,0.7651006711409396,75.0,TFIDF_LinearSVM,42
Most Favored Nation,0.6666666666666666,0.4,0.5,10.0,TFIDF_LinearSVM,42
No-Solicit Of Customers,0.7,0.6363636363636364,0.6666666666666666,11.0,TFIDF_LinearSVM,42
No-Solicit Of Employees,0.8387096774193549,0.896551724137931,0.8666666666666667,29.0,TFIDF_LinearSVM,42
Non-Compete,0.5517241379310345,0.6274509803921569,0.5871559633027523,51.0,TFIDF_LinearSVM,42
Non-Disparagement,0.6923076923076923,0.75,0.72,12.0,TFIDF_LinearSVM,42
Non-Transferable License,0.3888888888888889,0.2153846153846154,0.27722772277227725,65.0,TFIDF_LinearSVM,42
Notice Period To Terminate Renewal,0.4666666666666667,0.2916666666666667,0.358974358974359,24.0,TFIDF_LinearSVM,42
Parties,0.8796680497925311,0.9724770642201835,0.9237472766884531,218.0,TFIDF_LinearSVM,42
Post-Termination Services,0.7032967032967034,0.7032967032967034,0.7032967032967034,91.0,TFIDF_LinearSVM,42
Price Restrictions,0.6,1.0,0.75,3.0,TFIDF_LinearSVM,42
Renewal Term,0.627906976744186,0.6,0.6136363636363636,45.0,TFIDF_LinearSVM,42
Revenue/Profit Sharing,0.7916666666666666,0.9047619047619048,0.8444444444444444,84.0,TFIDF_LinearSVM,42
Rofr/Rofo/Rofn,0.7619047619047619,0.8,0.7804878048780488,80.0,TFIDF_LinearSVM,42
Source Code Escrow,0.6333333333333333,0.8260869565217391,0.7169811320754716,23.0,TFIDF_LinearSVM,42
Termination For Convenience,0.72,0.9,0.8,40.0,TFIDF_LinearSVM,42
Third Party Beneficiary,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,TFIDF_LinearSVM,42
Uncapped Liability,0.6470588235294118,0.3142857142857143,0.4230769230769231,35.0,TFIDF_LinearSVM,42
Unlimited/All-You-Can-Eat-License,0.6,0.3333333333333333,0.42857142857142855,9.0,TFIDF_LinearSVM,42
Volume Restriction,0.7058823529411765,0.631578947368421,0.6666666666666666,38.0,TFIDF_LinearSVM,42
Warranty Duration,0.7454545454545455,0.8541666666666666,0.7961165048543689,48.0,TFIDF_LinearSVM,42
accuracy,0.73943956503555,0.73943956503555,0.73943956503555,0.73943956503555,TFIDF_LinearSVM,42
macro avg,0.6690276864977908,0.6754048280159782,0.660172460932454,2391.0,TFIDF_LinearSVM,42
weighted avg,0.7316368980658076,0.73943956503555,0.7294684671378386,2391.0,TFIDF_LinearSVM,42
Affiliate License-Licensee,0.3548387096774194,0.36666666666666664,0.36065573770491804,30.0,SBERT_LogisticRegression,42
Affiliate License-Licensor,0.18181818181818182,0.19047619047619047,0.18604651162790697,21.0,SBERT_LogisticRegression,42
Agreement Date,0.66,0.8918918918918919,0.7586206896551724,37.0,SBERT_LogisticRegression,42
Anti-Assignment,0.912621359223301,0.7704918032786885,0.8355555555555556,122.0,SBERT_LogisticRegression,42
Audit Rights,0.9302325581395349,0.9090909090909091,0.9195402298850575,88.0,SBERT_LogisticRegression,42
Cap On Liability,0.8461538461538461,0.5923076923076923,0.6968325791855203,130.0,SBERT_LogisticRegression,42
Change Of Control,0.4782608695652174,0.6875,0.5641025641025641,48.0,SBERT_LogisticRegression,42
Competitive Restriction Exception,0.32,0.36363636363636365,0.3404255319148936,22.0,SBERT_LogisticRegression,42
Covenant Not To Sue,0.5833333333333334,0.9333333333333333,0.717948717948718,30.0,SBERT_LogisticRegression,42
Document Name,0.9222222222222223,0.9651162790697675,0.9431818181818182,86.0,SBERT_LogisticRegression,42
Effective Date,0.5714285714285714,0.35555555555555557,0.4383561643835616,45.0,SBERT_LogisticRegression,42
Exclusivity,0.45161290322580644,0.2916666666666667,0.35443037974683544,96.0,SBERT_LogisticRegression,42
Expiration Date,0.8095238095238095,0.7555555555555555,0.7816091954022989,90.0,SBERT_LogisticRegression,42
Governing Law,0.9555555555555556,0.9772727272727273,0.9662921348314607,88.0,SBERT_LogisticRegression,42
Insurance,0.9745762711864406,0.8984375,0.9349593495934959,128.0,SBERT_LogisticRegression,42
Ip Ownership Assignment,0.6404494382022472,0.7702702702702703,0.6993865030674846,74.0,SBERT_LogisticRegression,42
Irrevocable Or Perpetual License,0.30275229357798167,0.559322033898305,0.39285714285714285,59.0,SBERT_LogisticRegression,42
Joint Ip Ownership,0.5,0.6666666666666666,0.5714285714285714,6.0,SBERT_LogisticRegression,42
License Grant,0.6349206349206349,0.23952095808383234,0.34782608695652173,167.0,SBERT_LogisticRegression,42
Liquidated Damages,0.4,0.6666666666666666,0.5,21.0,SBERT_LogisticRegression,42
Minimum Commitment,0.7959183673469388,0.52,0.6290322580645161,75.0,SBERT_LogisticRegression,42
Most Favored Nation,0.2631578947368421,0.5,0.3448275862068966,10.0,SBERT_LogisticRegression,42
No-Solicit Of Customers,0.15789473684210525,0.5454545454545454,0.24489795918367346,11.0,SBERT_LogisticRegression,42
No-Solicit Of Employees,0.7272727272727273,0.8275862068965517,0.7741935483870968,29.0,SBERT_LogisticRegression,42
Non-Compete,0.5428571428571428,0.37254901960784315,0.4418604651162791,51.0,SBERT_LogisticRegression,42
Non-Disparagement,0.5714285714285714,0.6666666666666666,0.6153846153846154,12.0,SBERT_LogisticRegression,42
Non-Transferable License,0.3333333333333333,0.5230769230769231,0.40718562874251496,65.0,SBERT_LogisticRegression,42
Notice Period To Terminate Renewal,0.4090909090909091,0.75,0.5294117647058824,24.0,SBERT_LogisticRegression,42
Parties,0.9579439252336449,0.9403669724770642,0.9490740740740741,218.0,SBERT_LogisticRegression,42
Post-Termination Services,0.6710526315789473,0.5604395604395604,0.6107784431137725,91.0,SBERT_LogisticRegression,42
Price Restrictions,0.75,1.0,0.8571428571428571,3.0,SBERT_LogisticRegression,42
Renewal Term,0.5666666666666667,0.37777777777777777,0.4533333333333333,45.0,SBERT_LogisticRegression,42
Revenue/Profit Sharing,0.8395061728395061,0.8095238095238095,0.8242424242424242,84.0,SBERT_LogisticRegression,42
Rofr/Rofo/Rofn,0.7719298245614035,0.55,0.6423357664233577,80.0,SBERT_LogisticRegression,42
Source Code Escrow,0.6923076923076923,0.782608695652174,0.7346938775510204,23.0,SBERT_LogisticRegression,42
Termination For Convenience,0.5409836065573771,0.825,0.6534653465346535,40.0,SBERT_LogisticRegression,42
Third Party Beneficiary,1.0,0.8333333333333334,0.9090909090909091,12.0,SBERT_LogisticRegression,42
Uncapped Liability,0.4444444444444444,0.6857142857142857,0.5393258426966292,35.0,SBERT_LogisticRegression,42
Unlimited/All-You-Can-Eat-License,0.0967741935483871,0.3333333333333333,0.15,9.0,SBERT_LogisticRegression,42
Volume Restriction,0.5384615384615384,0.7368421052631579,0.6222222222222222,38.0,SBERT_LogisticRegression,42
Warranty Duration,0.6833333333333333,0.8541666666666666,0.7592592592592593,48.0,SBERT_LogisticRegression,42
accuracy,0.6733584274362192,0.6733584274362192,0.6733584274362192,0.6733584274362192,SBERT_LogisticRegression,42
macro avg,0.6045038602486735,0.654777698348084,0.609800332817207,2391.0,SBERT_LogisticRegression,42
weighted avg,0.7121252285598737,0.6733584274362192,0.6752033280477487,2391.0,SBERT_LogisticRegression,42
Affiliate License-Licensee,0.30303030303030304,0.3333333333333333,0.31746031746031744,30.0,SBERT_LinearSVM,42
Affiliate License-Licensor,0.11764705882352941,0.09523809523809523,0.10526315789473684,21.0,SBERT_LinearSVM,42
Agreement Date,0.6530612244897959,0.8648648648648649,0.7441860465116279,37.0,SBERT_LinearSVM,42
Anti-Assignment,0.9196428571428571,0.8442622950819673,0.8803418803418803,122.0,SBERT_LinearSVM,42
Audit Rights,0.9032258064516129,0.9545454545454546,0.9281767955801105,88.0,SBERT_LinearSVM,42
Cap On Liability,0.7481481481481481,0.7769230769230769,0.7622641509433963,130.0,SBERT_LinearSVM,42
Change Of Control,0.47761194029850745,0.6666666666666666,0.5565217391304348,48.0,SBERT_LinearSVM,42
Competitive Restriction Exception,0.14285714285714285,0.18181818181818182,0.16,22.0,SBERT_LinearSVM,42
Covenant Not To Sue,0.54,0.9,0.675,30.0,SBERT_LinearSVM,42
Document Name,0.9550561797752809,0.9883720930232558,0.9714285714285714,86.0,SBERT_LinearSVM,42
Effective Date,0.5925925925925926,0.35555555555555557,0.4444444444444444,45.0,SBERT_LinearSVM,42
Exclusivity,0.36486486486486486,0.28125,0.3176470588235294,96.0,SBERT_LinearSVM,42
Expiration Date,0.8068181818181818,0.7888888888888889,0.797752808988764,90.0,SBERT_LinearSVM,42
Governing Law,0.9560439560439561,0.9886363636363636,0.9720670391061452,88.0,SBERT_LinearSVM,42
Insurance,0.9682539682539683,0.953125,0.9606299212598425,128.0,SBERT_LinearSVM,42
Ip Ownership Assignment,0.6966292134831461,0.8378378378378378,0.7607361963190185,74.0,SBERT_LinearSVM,42
Irrevocable Or Perpetual License,0.3018867924528302,0.5423728813559322,0.3878787878787879,59.0,SBERT_LinearSVM,42
Joint Ip Ownership,0.4,0.3333333333333333,0.36363636363636365,6.0,SBERT_LinearSVM,42
License Grant,0.5591397849462365,0.31137724550898205,0.4,167.0,SBERT_LinearSVM,42
Liquidated Damages,0.34375,0.5238095238095238,0.41509433962264153,21.0,SBERT_LinearSVM,42
Minimum Commitment,0.8,0.5333333333333333,0.64,75.0,SBERT_LinearSVM,42
Most Favored Nation,0.1935483870967742,0.6,0.2926829268292683,10.0,SBERT_LinearSVM,42
No-Solicit Of Customers,0.18518518518518517,0.45454545454545453,0.2631578947368421,11.0,SBERT_LinearSVM,42
No-Solicit Of Employees,0.7142857142857143,0.8620689655172413,0.78125,29.0,SBERT_LinearSVM,42
Non-Compete,0.4583333333333333,0.43137254901960786,0.4444444444444444,51.0,SBERT_LinearSVM,42
Non-Disparagement,0.5384615384615384,0.5833333333333334,0.56,12.0,SBERT_LinearSVM,42
Non-Transferable License,0.3230769230769231,0.3230769230769231,0.3230769230769231,65.0,SBERT_LinearSVM,42
Notice Period To Terminate Renewal,0.42857142857142855,0.625,0.5084745762711864,24.0,SBERT_LinearSVM,42
Parties,0.9459459459459459,0.963302752293578,0.9545454545454546,218.0,SBERT_LinearSVM,42
Post-Termination Services,0.7931034482758621,0.5054945054945055,0.6174496644295302,91.0,SBERT_LinearSVM,42
Price Restrictions,0.6,1.0,0.75,3.0,SBERT_LinearSVM,42
Renewal Term,0.5862068965517241,0.37777777777777777,0.4594594594594595,45.0,SBERT_LinearSVM,42
