task,model,split_seed,accuracy,macro_precision,macro_recall,macro_f1,micro_f1
RQ1_clause_classification,TFIDF_LogisticRegression,42,0.7206189878711836,0.6597979621402433,0.6834316907314767,0.6602630989970156,0.7206189878711836
RQ1_clause_classification,TFIDF_LinearSVM,42,0.73943956503555,0.6690276864977908,0.6754048280159782,0.660172460932454,0.73943956503555
RQ1_clause_classification,SBERT_LogisticRegression,42,0.6733584274362192,0.6045038602486735,0.654777698348084,0.609800332817207,0.6733584274362192
RQ1_clause_classification,SBERT_LinearSVM,42,0.6808866583019657,0.5871611667144787,0.6207151848025149,0.5878798065848339,0.6808866583019657
RQ1_clause_classification,TFIDF_LogisticRegression,43,0.7373188405797102,0.6697925008210193,0.6825573089068379,0.6612916427196319,0.7373188405797102
RQ1_clause_classification,TFIDF_LinearSVM,43,0.7518115942028986,0.6585534513248918,0.6604336991201153,0.647316112175966,0.7518115942028986
RQ1_clause_classification,SBERT_LogisticRegression,43,0.7015398550724637,0.5857554726403374,0.6448573574693293,0.5987667738745462,0.7015398550724637
RQ1_clause_classification,SBERT_LinearSVM,43,0.7119565217391305,0.5984987325769399,0.6380323178042946,0.6068041165166574,0.7119565217391305
RQ1_clause_classification,TFIDF_LogisticRegression,44,0.7414736842105263,0.6598096753620974,0.6352737991099364,0.6346655769875126,0.7414736842105263
RQ1_clause_classification,TFIDF_LinearSVM,44,0.7545263157894737,0.6458623329919719,0.6287826419098586,0.6254846278441434,0.7545263157894737
RQ1_clause_classification,SBERT_LogisticRegression,44,0.7056842105263158,0.5784717557733234,0.6284335175535376,0.5871749303640068,0.7056842105263158
RQ1_clause_classification,SBERT_LinearSVM,44,0.7178947368421053,0.5976028771756147,0.6212882977441294,0.5973280972392541,0.7178947368421053
RQ1_clause_classification,TFIDF_LogisticRegression,45,0.7187127532777116,0.6233240344115398,0.674673912896187,0.6360135838628944,0.7187127532777116
RQ1_clause_classification,TFIDF_LinearSVM,45,0.7294398092967819,0.639706165945824,0.6603575387438189,0.6306095012814301,0.7294398092967819
RQ1_clause_classification,SBERT_LogisticRegression,45,0.6734207389749702,0.5554187893759709,0.6292738944099674,0.5720726135041488,0.6734207389749702
RQ1_clause_classification,SBERT_LinearSVM,45,0.6829558998808105,0.5575216384615711,0.602834106907051,0.5694707535744007,0.6829558998808105
RQ1_clause_classification,TFIDF_LogisticRegression,46,0.7386262265834077,0.6560073284175593,0.6853752819174622,0.6581926887031834,0.7386262265834077
RQ1_clause_classification,TFIDF_LinearSVM,46,0.7586975914362176,0.683436576168578,0.6826097391345631,0.673431244490681,0.7586975914362176
RQ1_clause_classification,SBERT_LogisticRegression,46,0.6886708296164139,0.5842588231509563,0.6536505998496335,0.5974042661463412,0.6886708296164139
RQ1_clause_classification,SBERT_LinearSVM,46,0.6980374665477252,0.584511944847561,0.6238824592291828,0.5921959441386814,0.6980374665477252
