feature,mean,std
relative_position,0.2716156739660228,0.0009021584063337783
uppercase_ratio,0.2006421558030441,0.0018084306957698998
clause_length_chars,0.18229222375999257,0.00043598458359695493
clause_length_words,0.1642038330902451,0.0006685515477673788
sentence_count,0.043812261748318954,0.00027758954807613516
contains_obligation,0.024542191232905658,0.0006251139551313193
has_numbering,0.02422987214344821,0.0006135187665594043
has_date,0.023165813948375753,0.0006239376914715331
contains_negation,0.02077197369729978,0.0009600747119890587
has_heading_keyword,0.01907709494964128,0.000553198695326383
has_percentage,0.010451754720781341,0.00023559569558146822
has_money,0.009871648435559264,0.000440699322288956
has_signature_keyword,0.005323502504365168,0.0003561991210070628
has_table_like_pattern,0.0,0.0
