contract_id,sim_to_Affiliate License-Licensee,sim_to_Affiliate License-Licensor,sim_to_Agreement Date,sim_to_Anti-Assignment,sim_to_Audit Rights,sim_to_Cap On Liability,sim_to_Change Of Control,sim_to_Competitive Restriction Exception,sim_to_Covenant Not To Sue,sim_to_Document Name,sim_to_Effective Date,sim_to_Exclusivity,sim_to_Expiration Date,sim_to_Governing Law,sim_to_Insurance,sim_to_Ip Ownership Assignment,sim_to_Irrevocable Or Perpetual License,sim_to_Joint Ip Ownership,sim_to_License Grant,sim_to_Liquidated Damages,sim_to_Minimum Commitment,sim_to_Most Favored Nation,sim_to_No-Solicit Of Customers,sim_to_No-Solicit Of Employees,sim_to_Non-Compete
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,0.42089996,0.4063474,0.2149843,0.43348116,0.3413603,0.3593015,0.45586276,0.40080124,0.4769845,0.45973527,0.56789035,0.47408414,0.48322052,0.48839825,0.42494962,0.40507028,0.3000316,0.41494447,0.39571184,0.35322595,0.52458775,0.32019657,0.47592092,0.50895107,0.41196358
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,0.40737593,0.42597443,0.2645394,0.45129865,0.40106106,0.42866462,0.49329832,0.51416963,0.40892053,0.43460062,0.6609137,0.46083072,0.52557683,0.55226076,0.4816353,0.4726752,0.3898723,0.6601378,0.48858297,0.4312719,0.3746389,0.39174467,0.52888554,0.56293356,0.42075324
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,0.4345122,0.44006443,0.10777794,0.39043736,0.22745074,0.31983536,0.50079685,0.3923231,0.35739452,0.46274054,0.46742442,0.34389836,0.45977187,0.45530105,0.31000125,0.38909194,0.3508014,0.5888872,0.43384713,0.34120724,0.34433448,0.2985751,0.42694375,0.43220395,0.2890885
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT,0.4669558,0.44622907,0.15437406,0.58091605,0.40131107,0.5218098,0.5661866,0.44663948,0.51321894,0.60817516,0.48428178,0.4740206,0.45460698,0.48098004,0.3061301,0.47021857,0.36012596,0.58598346,0.46846652,0.3077228,0.34540617,0.4114927,0.5254798,0.4783235,0.4403948
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,0.38574222,0.45181605,0.19023392,0.46656835,0.26342183,0.3709862,0.47363806,0.52745616,0.45937908,0.51893115,0.39762148,0.4378386,0.44169235,0.384785,0.4445731,0.4818014,0.29293257,0.41074753,0.4750663,0.33360595,0.48788995,0.33091855,0.43061572,0.45899796,0.51863664
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT,0.3690377,0.42449504,0.19538458,0.5449252,0.2865338,0.36583015,0.40511477,0.41923475,0.3749106,0.4266684,0.36761725,0.44731364,0.37109685,0.30638587,0.38577932,0.43044227,0.2643266,0.39755285,0.46533185,0.23714867,0.32471132,0.3288819,0.36972404,0.35532102,0.4255066
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT",0.43073237,0.35354787,0.27876246,0.4502061,0.38226557,0.41141894,0.45482096,0.37312794,0.36319616,0.396369,0.5095118,0.5116849,0.48842824,0.40863198,0.40982005,0.37134367,0.40622956,0.47453105,0.41368523,0.37736088,0.3215667,0.3633997,0.4945762,0.39491636,0.2841062
"ADMA BioManufacturing, LLC - Amendment #3 to Manufacturing Agreement",0.23832157,0.35009366,0.06909738,0.45573097,0.3683583,0.5037114,0.36685202,0.328527,0.33067524,0.4000896,0.28130072,0.45478976,0.3395059,0.36732632,0.46238536,0.37969953,0.26137686,0.33481634,0.40263975,0.4985838,0.4509348,0.50795084,0.3825857,0.29273582,0.327133
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT",0.34860867,0.27473393,0.19449376,0.39769,0.28524458,0.3121888,0.41295394,0.46633866,0.2591216,0.36004555,0.5298661,0.39956525,0.38996992,0.39649034,0.42503732,0.37074357,0.32990518,0.562675,0.4125465,0.37849954,0.29924488,0.22403619,0.44726387,0.5465266,0.36419636
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)",0.35768008,0.2727369,0.19556783,0.40422487,0.2782054,0.30879366,0.38947392,0.49039572,0.2911235,0.39546221,0.5425316,0.40523446,0.39619172,0.37908387,0.4524588,0.3512277,0.3189327,0.51650727,0.41046453,0.35816073,0.3396128,0.2612968,0.48639876,0.5802828,0.38347363
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT,0.291328,0.23431456,0.19087836,0.40653452,0.20253581,0.3589267,0.41151023,0.39665323,0.3778135,0.29550448,0.4536274,0.3729406,0.4190535,0.4010035,0.34377632,0.3365767,0.20396902,0.47053087,0.3522169,0.34720892,0.36661893,0.27505243,0.4681923,0.38904065,0.32981157
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,0.46049953,0.46696475,0.25284314,0.44283026,0.43177652,0.43029228,0.44536844,0.43213034,0.5372064,0.4803185,0.49249476,0.42548078,0.4972465,0.4558,0.28933865,0.534392,0.36493912,0.47301582,0.4448144,0.298818,0.5188746,0.4253435,0.49546018,0.4403773,0.42520118
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT,0.38860613,0.31386214,0.33402324,0.3693374,0.263592,0.36122936,0.40297908,0.30180654,0.33682007,0.42899936,0.57919353,0.31551686,0.54111433,0.4134415,0.33258533,0.31062707,0.29800376,0.43304855,0.3299454,0.37572348,0.39134336,0.24484673,0.41934854,0.37962812,0.3558265
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT,0.34837124,0.26975054,0.21807618,0.42571583,0.272207,0.41070244,0.40054166,0.43559957,0.3490419,0.3250419,0.36922592,0.3578961,0.33128887,0.36056542,0.35390332,0.4290843,0.20791903,0.41301343,0.34529266,0.37687165,0.45601946,0.4212404,0.45357794,0.33061576,0.37764233
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT,0.5328667,0.5464468,0.086559996,0.50583315,0.37741417,0.38735986,0.52134156,0.47721145,0.37816048,0.52941287,0.42843592,0.45744032,0.41630423,0.39541247,0.3653705,0.52312607,0.42384845,0.54675174,0.47073737,0.3993321,0.3512221,0.46650717,0.47324294,0.44242442,0.3804602
