split_seed,clause_category,model,threshold,missing_precision,missing_recall,missing_f1,missing_auroc,balanced_accuracy,n_test,n_missing_test,n_present_test,val_missing_f1_at_selected_threshold
42,Affiliate License-Licensee,FrequencyPrior,0.05,0.890625,1.0,0.9421487603305785,0.5,0.5,128,114,14,
42,Affiliate License-Licensee,TextOnly,0.32999999999999996,0.9112903225806451,0.9912280701754386,0.9495798319327731,0.7625313283208021,0.6027568922305764,128,114,14,0.9172932330827067
42,Affiliate License-Licensee,TextPlusLayout,0.12,0.9262295081967213,0.9912280701754386,0.9576271186440678,0.8872180451127819,0.6741854636591479,128,114,14,0.9242424242424242
42,Affiliate License-Licensor,FrequencyPrior,0.05,0.9609375,1.0,0.9800796812749004,0.5,0.5,128,123,5,
42,Affiliate License-Licensor,TextOnly,0.05,0.9609375,1.0,0.9800796812749004,0.8552845528455284,0.5,128,123,5,0.9664429530201343
42,Affiliate License-Licensor,TextPlusLayout,0.06,0.968,0.983739837398374,0.9758064516129032,0.8878048780487804,0.591869918699187,128,123,5,0.972972972972973
42,Agreement Date,FrequencyPrior,0.05,0.640625,1.0,0.780952380952381,0.5,0.5,128,82,46,
42,Agreement Date,TextOnly,0.35999999999999993,0.6456692913385826,1.0,0.784688995215311,0.6049840933191941,0.5108695652173914,128,82,46,0.8740740740740741
42,Agreement Date,TextPlusLayout,0.25999999999999995,0.7181818181818181,0.9634146341463414,0.8229166666666666,0.7884411452810179,0.6447507953340403,128,82,46,0.875
42,Anti-Assignment,FrequencyPrior,0.05,0.2734375,1.0,0.4294478527607362,0.5,0.5,128,35,93,
42,Anti-Assignment,TextOnly,0.5099999999999999,0.59375,0.5428571428571428,0.5671641791044776,0.7612903225806451,0.7015360983102918,128,35,93,0.7777777777777778
42,Anti-Assignment,TextPlusLayout,0.6,0.65625,0.6,0.6268656716417911,0.8522273425499232,0.7408602150537634,128,35,93,0.8095238095238095
42,Audit Rights,FrequencyPrior,0.05,0.65625,1.0,0.7924528301886793,0.5,0.5,128,84,44,
42,Audit Rights,TextOnly,0.4799999999999999,0.8395061728395061,0.8095238095238095,0.8242424242424242,0.8246753246753246,0.7570346320346321,128,84,44,0.8641975308641975
42,Audit Rights,TextPlusLayout,0.37999999999999995,0.8313253012048193,0.8214285714285714,0.8263473053892215,0.8547077922077922,0.7516233766233766,128,84,44,0.868421052631579
42,Cap On Liability,FrequencyPrior,0.05,0.5625,1.0,0.72,0.5,0.5,128,72,56,
