clause_category,model,missing_f1,missing_recall,missing_auroc,balanced_accuracy
Affiliate License-Licensee,FrequencyPrior,0.9463482822334498,1.0,0.5,0.5
Affiliate License-Licensee,TextOnly,0.9482555055310473,0.9881474519632415,0.7332696144978459,0.5610380116959064
Affiliate License-Licensee,TextPlusLayout,0.9439486424895681,0.9541838665290677,0.8539744479663209,0.6836064835290842
Affiliate License-Licensor,FrequencyPrior,0.9827778831762896,1.0,0.5,0.5
Affiliate License-Licensor,TextOnly,0.9827778831762896,1.0,0.8596916251420579,0.5
Affiliate License-Licensor,TextPlusLayout,0.9755828667910779,0.9730745694553721,0.9074940991345398,0.6865372847276859
Agreement Date,FrequencyPrior,0.7961255907538253,1.0,0.5,0.5
Agreement Date,TextOnly,0.7973711288414687,1.0,0.5955579676823807,0.5036231884057971
Agreement Date,TextPlusLayout,0.8131166388578258,0.9302434626780345,0.7799068540424215,0.6168414613775715
Anti-Assignment,FrequencyPrior,0.44480267992406847,1.0,0.5,0.5
Anti-Assignment,TextOnly,0.5606137051158414,0.527915556466489,0.7766067728497044,0.6961098673682699
Anti-Assignment,TextPlusLayout,0.6305817572745088,0.578287900526064,0.8675120662076058,0.7409192351211749
Audit Rights,FrequencyPrior,0.7483753658384705,1.0,0.5,0.5
Audit Rights,TextOnly,0.7840067340067339,0.886958386958387,0.8075084689668023,0.6742191325524659
Audit Rights,TextPlusLayout,0.8080865613671216,0.8761618761618761,0.8517536746703414,0.7234545151211819
Cap On Liability,FrequencyPrior,0.6679335059476904,1.0,0.5,0.5
Cap On Liability,TextOnly,0.7075491977529959,0.7224802671523983,0.7974427589117369,0.7031937060499648
Cap On Liability,TextPlusLayout,0.7449346506762774,0.7720248937462052,0.8564542200467714,0.7495571184730858
Change Of Control,FrequencyPrior,0.8620873505084031,1.0,0.5,0.5
Change Of Control,TextOnly,0.8682748502726163,0.9757190904438108,0.7519343182652283,0.564687050417532
Change Of Control,TextPlusLayout,0.8509268764676036,0.914152957519924,0.7816167266247045,0.5928743462940724
Competitive Restriction Exception,FrequencyPrior,0.9151638322474253,1.0,0.5,0.5
Competitive Restriction Exception,TextOnly,0.9082881005845055,0.9786956768088843,0.7500320684269983,0.5165314391174546
Competitive Restriction Exception,TextPlusLayout,0.8999909035385235,0.944705770838728,0.802901865586629,0.5581053682306703
Covenant Not To Sue,FrequencyPrior,0.8980488479164673,1.0,0.5,0.5
Covenant Not To Sue,TextOnly,0.9063774564330739,0.9743143363264308,0.772612110684197,0.6019312829373302
Covenant Not To Sue,TextPlusLayout,0.8919732386609956,0.9620059861951011,0.8061879556519469,0.5588418209363785
Document Name,FrequencyPrior,0.24618796047367475,1.0,0.5,0.5
Document Name,TextOnly,0.34993197278911564,0.34941520467836257,0.7964995012361084,0.6352486892841545
Document Name,TextPlusLayout,0.4893948374649884,0.5391812865497075,0.8424314755545553,0.7179342705209465
Effective Date,FrequencyPrior,0.7134171962035459,1.0,0.5,0.5
Effective Date,TextOnly,0.7068606143508558,0.9758454106280193,0.6468948825715358,0.4992708448035869
Effective Date,TextPlusLayout,0.7363166476022394,0.9218100087665305,0.7337803963135365,0.6009429577857229
Exclusivity,FrequencyPrior,0.7956983877589282,1.0,0.5,0.5
Exclusivity,TextOnly,0.815939015939016,0.8828024599431896,0.7892669113533857,0.6722149752983668
Exclusivity,TextPlusLayout,0.8067326858076874,0.855880974049254,0.7993527651193241,0.6694766363680853
Expiration Date,FrequencyPrior,0.3517328320625435,1.0,0.5,0.5
Expiration Date,TextOnly,0.5526672561155319,0.5233004926108374,0.8160642030971793,0.7118870806684666
Expiration Date,TextPlusLayout,0.5407867494824016,0.4703776683087028,0.8198449852358456,0.7018852481323187
Governing Law,FrequencyPrior,0.2583410997204101,1.0,0.5,0.5
Governing Law,TextOnly,0.5394490915218924,0.6294117647058823,0.7749369467506723,0.7536865296669218
Governing Law,TextPlusLayout,0.6233895303662745,0.5813725490196079,0.8600529451019647,0.7706245461147422
Insurance,FrequencyPrior,0.7860116399194003,1.0,0.5,0.5
Insurance,TextOnly,0.8081217795503509,0.935136973449667,0.7744359510158884,0.6224134479651435
Insurance,TextPlusLayout,0.8268626567706322,0.8868256872126841,0.8001369499533514,0.7063302556516611
Ip Ownership Assignment,FrequencyPrior,0.8819971342097711,1.0,0.5,0.5
Ip Ownership Assignment,TextOnly,0.896879535558781,0.9477803677803678,0.7861699587130623,0.6654610651162375
Ip Ownership Assignment,TextPlusLayout,0.8927604761407467,0.9311473711473711,0.8139712203505307,0.6743859461100841
Irrevocable Or Perpetual License,FrequencyPrior,0.9302454436506825,1.0,0.5,0.5
Irrevocable Or Perpetual License,TextOnly,0.9328535428760848,0.9635083078065533,0.8356738924858442,0.6341351062842291
Irrevocable Or Perpetual License,TextPlusLayout,0.9437260265909817,0.9792652928617841,0.9066255047340573,0.6664183607166064
Joint Ip Ownership,FrequencyPrior,0.9691015628401027,1.0,0.5,0.5
Joint Ip Ownership,TextOnly,0.9591682507067674,0.9780731964917114,0.8338882479221197,0.5168143760236336
Joint Ip Ownership,TextPlusLayout,0.962048156216504,0.9834232600143883,0.8420360357257657,0.5194894077849719
License Grant,FrequencyPrior,0.6643397324025596,1.0,0.5,0.5
License Grant,TextOnly,0.7850322967432506,0.8696263227513228,0.8996497371985653,0.7643804690679691
License Grant,TextPlusLayout,0.8288990407965032,0.9002149470899471,0.9055905520260988,0.815171576109076
Liquidated Damages,FrequencyPrior,0.9362103805373044,1.0,0.5,0.5
Liquidated Damages,TextOnly,0.9386284417788952,0.9969696969696971,0.7200836862822242,0.5262626262626263
Liquidated Damages,TextPlusLayout,0.9401438688262371,1.0,0.7832625890917542,0.5277777777777778
Minimum Commitment,FrequencyPrior,0.817704070954845,1.0,0.5,0.5
Minimum Commitment,TextOnly,0.8101498127340824,0.8511275027559897,0.7980909137454334,0.6667885628155723
Minimum Commitment,TextPlusLayout,0.7870422491165526,0.8050880473741624,0.8525169293433197,0.6745016956447532
Most Favored Nation,FrequencyPrior,0.9745854899372194,1.0,0.5,0.5
