split_seed,contract_id,model,k,precision_at_k,recall_at_k,n_missing_eligible_categories
42,VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement,TextOnly,3,1.0,0.13043478260869565,23
42,VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement,TextOnly,5,0.8,0.17391304347826086,23
42,VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement,TextOnly,10,0.9,0.391304347826087,23
42,ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,TextOnly,3,1.0,0.07894736842105263,38
42,ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,TextOnly,5,1.0,0.13157894736842105,38
42,ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,TextOnly,10,1.0,0.2631578947368421,38
42,"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",TextOnly,3,1.0,0.08108108108108109,37
42,"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",TextOnly,5,1.0,0.13513513513513514,37
42,"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",TextOnly,10,1.0,0.2702702702702703,37
42,"TALLGRASSENERGY,LP_02_20_2020-EX-99.26-JOINT FILING AGREEMENT",TextOnly,3,1.0,0.07894736842105263,38
42,"TALLGRASSENERGY,LP_02_20_2020-EX-99.26-JOINT FILING AGREEMENT",TextOnly,5,1.0,0.13157894736842105,38
42,"TALLGRASSENERGY,LP_02_20_2020-EX-99.26-JOINT FILING AGREEMENT",TextOnly,10,1.0,0.2631578947368421,38
42,Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT,TextOnly,3,1.0,0.09375,32
42,Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT,TextOnly,5,1.0,0.15625,32
42,Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT,TextOnly,10,1.0,0.3125,32
42,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,TextOnly,3,1.0,0.07692307692307693,39
42,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,TextOnly,5,1.0,0.1282051282051282,39
42,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,TextOnly,10,1.0,0.2564102564102564,39
