label,mean_proxy_risk,std_proxy_risk,n,mean_semantic_deviation
Warranty Duration,0.7161983654401625,0.06889732226007601,33,0.36641815
Most Favored Nation,0.7103442958079299,0.06545438666728864,9,0.33329532
Joint Ip Ownership,0.6808501877527448,0.04724354900501639,15,0.30609265
Insurance,0.6617423695346293,0.04495778021751221,82,0.31874207
Non-Compete,0.6359217139273711,0.04576812210180543,51,0.3483061
Ip Ownership Assignment,0.6293317078261583,0.05130430924762824,62,0.28510663
Change Of Control,0.6253761951616698,0.05297813388618394,39,0.27990597
Audit Rights,0.6100811018125173,0.04989609589325036,114,0.34891644
Uncapped Liability,0.6029465915329497,0.05713860985107287,31,0.19229224
Post-Termination Services,0.5870330636898673,0.05535780130841968,72,0.29638803
Exclusivity,0.5841178353568232,0.06286873700478453,83,0.28360415
Termination For Convenience,0.5510150834255513,0.04998801393653825,49,0.24591205
Cap On Liability,0.5453545381370322,0.05554046086252772,125,0.25656524
Anti-Assignment,0.46860050988694424,0.047197286776253344,99,0.21372412
Price Restrictions,0.4670796926577458,0.00346133001268108,3,0.46097812
Third Party Beneficiary,0.4434959860600301,0.03456381088013769,7,0.33157757
Governing Law,0.4199613008065662,0.040633942544305385,87,0.14746253
Covenant Not To Sue,0.41119588364752946,0.04210574688702457,31,0.29331398
No-Solicit Of Customers,0.4093440123692616,0.0357295701738299,7,0.40495396
Non-Disparagement,0.402444417851469,0.03365753866022471,12,0.35463557
Source Code Escrow,0.38894447515948977,0.07802365611051523,11,0.29360202
Unlimited/All-You-Can-Eat-License,0.3830607377758093,0.09054118565861073,7,0.29575476
Liquidated Damages,0.37907748576730343,0.07122112414348411,24,0.28932962
Volume Restriction,0.37280451211320736,0.058579928428097866,26,0.43767336
No-Solicit Of Employees,0.36115642566920353,0.06763203770097258,12,0.34967005
Affiliate License-Licensor,0.35431301287615535,0.07524907212188917,8,0.23311608
Competitive Restriction Exception,0.3479381785527683,0.04505966009774524,26,0.34391037
Rofr/Rofo/Rofn,0.3461600831361041,0.050584415446975874,72,0.31780446
Affiliate License-Licensee,0.3337287950477367,0.06899172565150606,15,0.22568038
Minimum Commitment,0.3279595653468157,0.049971353767159506,62,0.41361973
Revenue/Profit Sharing,0.30895666130155186,0.050152920231184624,72,0.3496313
Irrevocable Or Perpetual License,0.3066699475708136,0.052280217101987464,26,0.15345685
Agreement Date,0.2973298842861219,0.030429985106543166,23,0.18570748
Non-Transferable License,0.2760647063364821,0.0675549846662095,47,0.17353784
Parties,0.2614974427886468,0.0502099393848781,178,0.43315125
Effective Date,0.2541851562515326,0.03983191408683608,40,0.19794978
Notice Period To Terminate Renewal,0.2364132377008871,0.03145983747269872,23,0.11846413
License Grant,0.23052282722353232,0.0644893154672731,136,0.22291735
Renewal Term,0.22042793074766395,0.055806896269239376,23,0.16403838
Document Name,0.1801039037254126,0.048450610102632775,80,0.115556
Expiration Date,0.10186261112317634,0.045480076870028224,78,0.20207207
