contract_id,label,text,clause_type_attention,review_sensitive_category_score,category_absence_rate,category_absence_prevalence,short_clause_signal,late_document_position,no_numbering_signal,layout_irregularity,layout_irregularity_proxy,scope_note,nearest_clause_similarity,nearest_reference_label,nearest_reference_contract_id,reference_match_scope,semantic_deviation,semantic_deviation_from_reference,clause_type_attention_norm,category_absence_rate_norm,layout_irregularity_norm,semantic_deviation_norm,proxy_risk_score,proxy_review_priority_score,score_interpretation,proxy_priority_band
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Most Favored Nation,"With respect to any [***],",1.0,1.0,0.9450980392156862,0.9450980392156862,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",0.17251870036125183,Most Favored Nation,GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT,same_label_different_contract,0.8274812996387482,0.8274812996387482,0.9999999985714286,0.9660633473016011,0.6666666659999999,0.9999999987915139,0.9248491692947073,0.9248491692947073,Higher value indicates higher weakly supervised review priority; not a validated legal-risk probability.,higher-review-priority
MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT,Warranty Duration,be deemed to be accepted.,1.0,1.0,0.8529411764705882,0.8529411764705882,1.0,1.0,1.0,1.0,1.0,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",0.4630662500858307,Warranty Duration,SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,same_label_different_contract,0.5369337499141693,0.5369337499141693,0.9999999985714286,0.8597285057953359,0.9999999989999999,0.6488773017757319,0.8771514512641956,0.8771514512641956,Higher value indicates higher weakly supervised review priority; not a validated legal-risk probability.,higher-review-priority
FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT,Warranty Duration,"In the absence of such notification, Astellas shall be deemed to have accepted the shipment.",1.0,1.0,0.8529411764705882,0.8529411764705882,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",0.44030147790908813,Warranty Duration,VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,same_label_different_contract,0.5596985220909119,0.5596985220909119,0.9999999985714286,0.8597285057953359,0.6666666659999999,0.6763882142278409,0.8173625127772228,0.8173625127772228,Higher value indicates higher weakly supervised review priority; not a validated legal-risk probability.,higher-review-priority
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,Most Favored Nation,"After a Second Source commences supply of Product, in the event of a shortage of Materials or Product, MediWound will allocate to Vericel its pro rata share of MediWound's supply of the same in a manner no less favorable than those of its equivalently situated customers or MediWound's own similarly situated products.",1.0,1.0,0.9450980392156862,0.9450980392156862,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",0.31223583221435547,Most Favored Nation,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT,same_label_different_contract,0.6877641677856445,0.6877641677856445,0.9999999985714286,0.9660633473016011,0.33333333299999995,0.8311537765395101,0.8159709471317064,0.8159709471317064,Higher value indicates higher weakly supervised review priority; not a validated legal-risk probability.,higher-review-priority
"Sonos, Inc. - Manufacturing Agreement",Warranty Duration,"IAC hereby represents and warrants that for a period of [*] after the Manufacturing Date (the ""Warranty Period""), a Product Unit will be free from defects in manufacturing process and defects in workmanship, will conform to general expectations of performance of wireless audio products and will conform to the Statement of Work for the applicable Product.",1.0,1.0,0.8529411764705882,0.8529411764705882,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",0.48710697889328003,Warranty Duration,CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement,same_label_different_contract,0.51289302110672,0.51289302110672,0.9999999985714286,0.8597285057953359,0.6666666659999999,0.6198244133755427,0.8032215625641482,0.8032215625641482,Higher value indicates higher weakly supervised review priority; not a validated legal-risk probability.,higher-review-priority
KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT,Warranty Duration,Supply of drugs/medications and spare parts during and after the warranty period.,1.0,1.0,0.8529411764705882,0.8529411764705882,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",0.4894471764564514,Warranty Duration,AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,same_label_different_contract,0.5105528235435486,0.5105528235435486,0.9999999985714286,0.8597285057953359,0.6666666659999999,0.6169963169737337,0.802514538463696,0.802514538463696,Higher value indicates higher weakly supervised review priority; not a validated legal-risk probability.,higher-review-priority
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,Source Code Escrow,"Bank of America shall establish a secure receptacle in which it shall place the Source Code and shall put the receptacle under supervision of one or more of its officers, whose identity shall be available to Supplier at all times.",1.0,1.0,0.9745098039215686,0.9745098039215686,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",0.38629335165023804,Source Code Escrow,TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT,same_label_different_contract,0.613706648349762,0.613706648349762,0.9999999985714286,0.9999999988461539,0.33333333299999995,0.7416562881481081,0.8020807379199941,0.8020807379199941,Higher value indicates higher weakly supervised review priority; not a validated legal-risk probability.,higher-review-priority
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement,Most Favored Nation,"In the event that Licensor grants to another VOD or Pay-Per-View (""PPV"") service provider in the U.S. or the Territory the right to distribute or exhibit any Licensed Program on an earlier availability date, then Licensor shall also grant to Rogers the right to distribute and exhibit such Licensed Program on such earlier availability date, on the terms provided herein.",1.0,1.0,0.9450980392156862,0.9450980392156862,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",0.361834317445755,Most Favored Nation,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,same_label_different_contract,0.638165682554245,0.638165682554245,0.9999999985714286,0.9660633473016011,0.33333333299999995,0.7712146928375311,0.8009861762062116,0.8009861762062116,Higher value indicates higher weakly supervised review priority; not a validated legal-risk probability.,higher-review-priority
"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT",Uncapped Liability,"Accordingly, LBIO shall have available, in addition to any other right or remedy available to it, the right to seek an injunction from a court of competent jurisdiction restraining such a breach (or threatened breach) and to specific performance of any such Section.",1.0,1.0,0.7823529411764706,0.7823529411764706,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",0.4274621605873108,Uncapped Liability,TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement,same_label_different_contract,0.5725378394126892,0.5725378394126892,0.9999999985714286,0.7782805420884094,0.6666666659999999,0.6919043517073598,0.8008795562203709,0.8008795562203709,Higher value indicates higher weakly supervised review priority; not a validated legal-risk probability.,higher-review-priority
Microgenics Corporation - Collaborative Development and Commercialization Agreement,Joint Ip Ownership,Party shall be obligated to join any such action.,1.0,1.0,0.9098039215686274,0.9098039215686274,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",0.33182376623153687,Joint Ip Ownership,AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement,same_label_different_contract,0.6681762337684631,0.6681762337684631,0.9999999985714286,0.9253393654481379,0.33333333299999995,0.8074820290833721,0.799872014804306,0.799872014804306,Higher value indicates higher weakly supervised review priority; not a validated legal-risk probability.,higher-review-priority
