dataset,contract_id,text,label
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,DISTRIBUTOR AGREEMENT,Document Name
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Electric City of Illinois L.L.C.,Parties
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Electric City of Illinois LLC,Parties
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"7th day of September, 1999.",Agreement Date
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"The term of this Agreement shall be ten (10) years (the ""Term"") which shall commence on the date upon which the Company delivers to Distributor the last Sample, as defined hereinafter.",Effective Date
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Unless earlier terminated otherwise provided therein, this Agreement, subject to the commencement date established in Section 1.3, shall be effective immediately.",Effective Date
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"The term of this Agreement shall be ten (10) years (the ""Term"") which shall commence on the date upon which the Company delivers to Distributor the last Sample, as defined hereinafter.",Expiration Date
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"If Distributor complies with all of the terms of this Agreement, the Agreement shall be renewable on an annual basis for one (1) year terms for up to another ten (10) years on the same terms and conditions as set forth herein.",Renewal Term
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,This Agreement is to be construed according to the laws of the State of Illinois.,Governing Law
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,The Distributor shall not order or purchase Products from any source other than the Company.,Exclusivity
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Company hereby appoints Distributor as Company's exclusive distributor within the Market and grants to Distributor the exclusive right to sell and distribute Products within the Market, and Distributor hereby accepts such appointment and such grant, in accordance with the terms and conditions of this Agreement.",Exclusivity
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"The Company appoints the Distributor as an exclusive distributor of Products in the Market, subject to the terms and conditions of this Agreement.",Exclusivity
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Distributor further agrees that it will not interfere with or otherwise disrupt the business relations between the Company or nay of its affiliates and any of their current or prospective customers, suppliers or distributors, during the",No-Solicit Of Customers
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Term of the Agreement and for a period of eighteen (18) months thereafter, nor will Distributor solicit any customer or potential customer of Company to purchase a competitive product during that period.",No-Solicit Of Customers
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"During the Term of this Agreement and for a period of twelve (12) months thereafter, the Distributor (on behalf of itself, each of its affiliates and each of their respective representatives) agrees that it will not directly or indirectly solicit or hire any executive, managerial or technical employee of the Company or any of its affiliates.",No-Solicit Of Employees
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Distributor shall exercise its option to become exclusive Distributor of other Products or devices by serving written notification on Company of its election to become exclusive distributor within thirty (30) days upon which Company informed Distributor in writing of Company's intention to introduce other Products or devices.,Rofr/Rofo/Rofn
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"If Distributor does not exercise its option as herein provided, Company may distribute the other Products or devices within the Market itself or through other distributors.",Rofr/Rofo/Rofn
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Should Company introduce other products or devices as contemplated by recital paragraph ""A"", Distributor shall have the option of becoming Company's exclusive distributor of such other Products or devices within the Market.",Rofr/Rofo/Rofn
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"No assignment of this Agreement or any right accruing hereunder shall be made by the Distributor in whole or in part, without the prior written consent of the Company, which consent shall not be unreasonably withheld.",Anti-Assignment
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"In the event either party (a) becomes adjudicated insolvent, (b) discontinues its business, (c) has voluntary of involuntary bankruptcy proceedings instituted against it, or (d) makes an assignment for the benefit of creditors, the other party shall be entitled to terminate this Agreement effective immediately upon written notice.",Anti-Assignment
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"The Company also reserves the right to increase or decrease the price per unit based on Company wide changes in unit prices to all distributors of the Company, provided however, that any price changes, other than those based on the CPI, shall be uniformly applied to all distributors of the Products and shall reasonably applied to all distributors of the Products and shall reasonably reflect Company's costs of manufacturing the Products and/or market demand for the Products, provided further than any increase in price based upon market demand shall not be so great as to deprive Distributor of its normal and customary profit margin.",Price Restrictions
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,The prices set forth in Section 2.4(a) shall be subject to adjustment annually on the first day of each Product Year beginning in the calendar year 2000 and on the first day of each succeeding Product Year for the remainder of the Term and all renewals of this Agreement in proportion to the increase or decrease in the Consumer Price Index (CPI) as compared to the CPI as it existed on the first day of the Term of this Agreement.,Price Restrictions
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"A minimum of a $250,000.00 purchase order must be received by Company by the first of each month for a total (12) month period.",Minimum Commitment
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Company's representatives will make themselves available three days per month in the first Product Year to consult with and train Distributor.,Minimum Commitment
