dataset,model,seed,accuracy,macro_precision,macro_recall,macro_f1,micro_f1
CUAD,MajorityBaseline,13,0.018115942028985508,0.0009057971014492754,0.05,0.0017793594306049823,0.018115942028985508
CUAD,TFIDF_LinearSVM,13,0.717391304347826,0.7285921116039401,0.7457948179271708,0.7215773177515579,0.717391304347826
CUAD,TFIDF_plus_PortableStructure,13,0.6884057971014492,0.7207458488868335,0.7132247899159665,0.6939117069217473,0.6884057971014492
CUAD,PortableStructureOnly,13,0.36594202898550726,0.3250500744647836,0.40853452919629385,0.3307582708855764,0.36594202898550726
CUAD,SBERT_LinearSVM,13,0.6956521739130435,0.7033144751275555,0.7254814425770308,0.7038170505273553,0.6956521739130435
CUAD,SBERT_plus_PortableStructure,13,0.6413043478260869,0.6508719754244051,0.6699562324929972,0.6529299187439196,0.6413043478260869
CUAD,TFIDF_SBERT_PortableStructure,13,0.7028985507246377,0.7131138604220445,0.7337307422969188,0.7124926820470396,0.7028985507246377
CUAD,MajorityBaseline,21,0.023255813953488372,0.0011627906976744186,0.05,0.0022727272727272726,0.023255813953488372
CUAD,TFIDF_LinearSVM,21,0.7441860465116279,0.7588565944719197,0.7528922915319974,0.7425805542559172,0.7441860465116279
CUAD,TFIDF_plus_PortableStructure,21,0.7596899224806202,0.7726304143912504,0.7611614325217266,0.7531177000003261,0.7596899224806202
CUAD,PortableStructureOnly,21,0.375968992248062,0.34005598933230513,0.3630481773128832,0.31706126008580837,0.375968992248062
CUAD,SBERT_LinearSVM,21,0.7093023255813954,0.7188713410772234,0.714694884364002,0.7109360887775941,0.7093023255813954
CUAD,SBERT_plus_PortableStructure,21,0.689922480620155,0.7006090478616223,0.6927953745600803,0.6893548836429272,0.689922480620155
CUAD,TFIDF_SBERT_PortableStructure,21,0.7713178294573644,0.7844642857142858,0.7838204320189616,0.7778285502863465,0.7713178294573644
CUAD,MajorityBaseline,42,0.0321285140562249,0.0016064257028112448,0.05,0.0031128404669260703,0.0321285140562249
CUAD,TFIDF_LinearSVM,42,0.7751004016064257,0.7739839408957055,0.7880452843939685,0.7686641545381293,0.7751004016064257
CUAD,TFIDF_plus_PortableStructure,42,0.7590361445783133,0.7671355605179133,0.7739553721132668,0.7555045420525662,0.7590361445783133
CUAD,PortableStructureOnly,42,0.40963855421686746,0.36783219489488833,0.42275620213120213,0.37084747240758176,0.40963855421686746
CUAD,SBERT_LinearSVM,42,0.6907630522088354,0.6831910871636103,0.7054609498688447,0.6851529926077253,0.6907630522088354
